node_A_num	node_B_num	combined_score
742	962	0.156
825	483	0.208
1042	456	0.407
1126	598	0.187
1126	32	0.921
0	1110	0.207
97	530	0.202
158	977	0.342
355	449	0.153
772	326	0.546
772	284	0.721
887	396	0.48
1125	174	0.341
1167	986	0.196
1167	861	0.306
19	9	0.997
49	862	0.188
324	675	0.162
653	801	0.182
684	70	0.848
874	194	0.633
67	412	0.32
169	194	0.348
512	869	0.15
930	881	0.215
998	358	0.933
1107	598	0.16
1150	217	0.811
266	103	0.214
675	418	0.373
741	705	0.564
747		0.256
812	1081	0.345
1143	131	0.214
163	226	0.151
539	739	0.256
539	700	0.7
595	706	0.364
622	1031	0.181
873	761	0.961
895	201	0.171
895	25	0.347
904	1018	0.84
1136	140	0.372
1168	1079	0.27
363	599	0.999
828	776	0.185
866	963	0.164
631	12	0.475
708	342	0.178
757	606	0.457
764	402	0.244
861	825	0.271
861	772	0.318
1014	116	0.222
168	154	0.238
401	842	0.2
809	665	0.229
1138	516	0.549
267	121	0.283
606	70	0.999
709	721	0.475
1083	963	0.371
9	534	0.206
104	1172	0.165
143	736	0.168
216	398	0.478
421	1142	0.159
633	589	0.152
1124	951	0.167
165	125	0.394
333	63	0.156
718	155	0.279
785	391	0.181
785	763	0.313
915	1061	0.345
346	761	0.203
526	287	0.194
526	367	0.335
737	118	0.232
910	752	0.374
924	351	0.724
1054	605	0.174
120	1174	0.183
154	28	0.309
192	752	0.15
197	1055	0.153
358	209	0.621
252	25	0.199
364	1051	0.206
428	209	0.156
959	826	0.23
1038	474	0.193
1038	1126	0.814
1123	496	0.329
1155	172	0.36
256	756	0.908
553	1002	0.92
554	73	0.18
610	738	0.22
815	446	0.65
894	15	0.266
1120	209	0.169
541	364	0.203
729	1151	0.432
956	1084	0.503
1133	77	0.998
278	929	0.293
405	120	0.185
405	323	0.186
405	944	0.33
405	991	0.566
816	437	0.538
869	848	0.319
100	46	0.158
366	355	0.268
374	628	0.155
77	79	0.956
211	1084	0.341
211	746	0.412
798	6	0.253
877	1053	0.167
1030	151	0.218
193	782	0.212
193	77	0.194
201	639	0.998
290	846	0.15
605	1068	0.179
