node_A_num	node_B_num	combined_score
366	374	0.212
366	133	0.394
366	170	0.214
415	27	0.175
698	315	0.561
817	683	0.157
845	228	0.981
964	917	0.162
94	873	0.172
211	833	0.156
251	639	0.999
251	1104	0.651
339	634	0.151
339	350	0.261
703	464	0.211
703	933	0.174
942	338	0.169
201	433	0.496
201	792	0.195
464	78	0.216
493	394	0.402
558	335	0.17
570	553	0.716
572	76	0.19
711	884	0.248
711	600	0.287
743	390	0.3
759	81	0.906
780	411	0.155
986	578	0.209
1171	230	0.232
52	750	0.276
181	425	0.254
258	808	0.167
446	727	0.651
511	594	0.227
551	1083	0.166
632	480	0.438
660	900	0.185
770	456	0.816
1036	617	0.191
240	770	0.807
398	169	0.999
462	734	0.228
462	741	0.311
485	280	0.989
495	1166	0.333
495	869	0.915
1026	583	0.179
1128	166	0.205
23	374	0.285
23	1132	0.38
283	792	0.229
375	999	0.987
470	975	0.228
505	784	0.165
776	1151	0.205
670	163	0.379
820	818	0.929
862	1027	0.213
1009	166	0.337
1058	1018	0.61
83	358	0.819
219	125	0.222
323	1144	0.222
635	84	0.153
721	553	0.309
262	570	0.206
713	783	0.216
888	684	0.998
581	597	0.961
706	611	0.303
774	786	0.159
793	575	0.162
854	878	0.159
1063	1053	0.155
288	910	0.562
144	707	0.627
144	104	0.251
360	1155	0.268
391	226	0.24
834	743	0.152
1006	604	0.252
14	1125	0.868
524	1095	0.183
779	152	0.16
790	739	0.855
868	574	0.153
963	818	0.226
1001	1063	0.23
1084	383	0.947
1084	1063	0.152
1147	957	0.287
594	670	0.319
604	686	0.26
801	606	0.234
801	816	0.364
1118	418	0.19
152	310	0.199
152	764	0.483
217	64	0.317
412	446	0.249
542	2	0.448
567	151	0.284
569	428	0.62
639	1095	0.99
678	384	0.239
792	1	0.91
792	910	0.171
841	258	0.176
1003	617	0.214
772	927	0.566
900	323	0.231
967	611	0.303
107	413	0.903
324	166	0.364
587	76	0.199
587	1126	0.212
1016	844	0.627
63	914	0.985
67	314	0.225
403	496	0.303
403	1140	0.459
448	985	0.553
738	288	0.384
987	641	0.964
1150	398	0.998
81	567	0.413
188	538	0.153
359	493	0.211
359	101	0.268
431	790	0.405
943	40	0.156
1104	584	0.871
65	318	0.237
65	104	0.187
510	572	0.159
579	88	0.248
1127	923	0.23
82	671	0.16
407	418	0.206
908	140	0.189
961	539	0.187
1008	1145	0.295
1132	101	0.225
115	836	0.818
381	20	0.238
381	1079	0.516
700	1167	0.309
715	804	0.822
991	404	0.181
994	105	0.151
267	130	0.16
292	15	0.293
584	396	0.637
641	552	0.445
709	1110	0.851
844	27	0.339
844	1104	0.837
999	861	0.903
1070	820	0.817
244	359	0.325
314	129	0.303
404	758	0.239
460	263	0.202
516	610	0.319
633	772	0.205
633	878	0.206
102	55	0.214
105	834	0.169
1130	397	0.196
220	297	0.168
526	43	0.262
1044	914	0.27
1044	105	0.33
1054	464	0.157
45	301	0.156
157	446	0.809
358	119	0.164
803	1066	0.227
54	626	0.191
191	923	0.557
252	1165	0.377
364	882	0.369
428	148	0.192
761	154	0.209
928	191	0.271
1113	1055	0.153
73	980	0.319
222	162	0.424
222	746	0.292
281	1016	0.353
538	1133	0.6
610	120	0.295
624	877	0.165
752	192	0.15
815	884	0.515
815	857	0.301
826	699	0.237
1002	797	0.904
1050	987	0.212
1140	709	0.369
674	250	0.439
702	495	0.326
702	452	0.186
729	116	0.426
729	288	0.306
1010	851	0.906
175	546	0.407
286	306	0.317
286	1120	0.539
897	915	0.276
957	558	0.63
1069	404	0.183
103	377	0.216
162	614	0.998
423	359	0.235
833	1101	0.391
964	954	0.267
1027	304	0.177
199	868	0.183
210	19	0.158
211	1166	0.381
251	686	0.266
201	717	0.288
290	1137	0.157
457	446	0.315
570	154	0.244
986	626	0.164
258	1091	0.181
322	476	0.202
416	206	0.247
511	702	0.218
551	1126	0.299
600	527	0.166
884	505	0.199
1036	221	0.973
1082	191	0.566
4	282	0.222
240	571	0.434
389	88	0.207
398	963	0.286
398	879	0.39
398	1104	0.774
398	915	0.854
495	401	0.661
775	746	0.171
23	1030	0.35
375	748	0.601
375	1123	0.638
644	94	0.208
723	1130	0.999
734	202	0.336
1075	364	0.349
132	29	0.199
187	240	0.172
686	844	0.28
705	786	0.19
33	523	0.229
323	322	0.375
690	574	0.221
1142	939	0.16
87	676	0.23
99	379	0.169
348	25	0.268
583	42	0.225
683	902	0.294
882	188	0.234
882	675	0.856
888	1023	0.223
489	1158	0.348
655	530	0.494
774	793	0.973
793	144	0.999
129	151	0.178
328	10	0.32
535	635	0.407
947	633	0.292
125	793	0.335
360	153	0.286
360	753	0.304
454	964	0.152
596	226	0.241
795	770	0.294
879	355	0.294
1006	133	0.314
1137	570	0.269
1137	121	0.262
14	358	0.961
25	40	0.818
80	183	0.18
137	346	0.203
365	585	0.425
456	630	0.304
790	1131	0.233
836	1050	0.268
868	660	0.158
902	81	0.263
963	1036	0.511
1001	486	0.15
1084	556	0.947
32	869	0.994
91	844	0.347
179	686	0.255
399	0	0.271
483	144	0.249
533	709	0.179
602	18	0.23
689	901	0.159
837	1053	0.273
837	153	0.3
101	174	0.223
101	359	0.268
185	626	0.179
298	954	0.514
412	462	0.213
517	516	0.825
639	222	0.321
870	79	0.153
1042	740	0.344
1149	543	0.532
158	295	0.248
158	1017	0.181
772	835	0.169
1176	620	0.346
1176	389	0.181
345	1145	0.317
587	447	0.44
684	619	0.181
1016	191	0.358
41	1064	0.325
63	439	0.15
85	439	0.335
169	79	0.952
194	729	0.599
194	874	0.633
403	836	0.811
528	55	0.187
528	193	0.999
585	314	0.327
738	869	0.169
987	654	0.937
998	999	0.919
1150	791	0.153
205	700	0.343
266	721	0.768
266	644	0.231
741	412	0.388
927	644	0.461
1158	944	0.352
206	140	0.458
325	977	0.164
327	32	0.282
895	150	0.323
1104	143	0.938
1112	105	0.422
65	148	0.346
202	728	0.159
213	489	0.186
230	1110	0.174
579	624	0.223
611	107	0.19
646	748	0.168
1072	955	0.323
1134	551	0.289
474	749	0.181
764	963	0.957
764	179	0.321
117	213	0.298
401	330	0.284
618	401	0.334
839	1132	0.153
1077	1042	0.247
1077	298	0.168
354	769	0.311
385	112	0.224
514	1128	0.752
519	1042	0.297
519	178	0.226
519	99	0.276
521	115	0.17
786	818	0.443
786	1044	0.27
852	38	0.158
1025	820	0.932
1083	43	0.203
42	783	0.341
143	887	0.317
143	433	0.997
244	727	0.411
490	749	0.219
633	61	0.317
6	1055	0.739
105	54	0.352
105	1107	0.496
105	786	0.288
165	439	0.172
598	91	0.307
785	77	0.529
865	816	0.203
865	567	0.309
865	1113	0.348
883	675	0.282
61	803	0.258
61	244	0.298
220	404	0.266
293	560	0.196
746	903	0.19
910	913	0.563
924	1108	0.205
1044	1085	0.288
24	152	0.238
24	1052	0.207
120	27	0.57
154	315	0.99
209	246	0.299
209	595	0.372
257	840	0.201
941	561	0.304
54	439	0.217
226	402	0.609
320	745	0.166
824	741	0.191
1038	986	0.514
1113	69	0.174
1113	573	0.581
1155	754	0.167
141	355	0.28
141	493	0.177
256	852	0.361
503	345	0.152
503	189	0.223
553	445	0.16
561	599	0.155
799	198	0.27
859	1134	0.537
1140	579	0.421
1140	972	0.794
2	764	0.225
118	162	0.474
387	166	0.195
729	712	0.196
956	116	0.465
869	1091	0.836
1061	570	0.371
750	64	0.282
210	298	0.395
211	132	0.19
251	270	0.761
1030	581	0.18
1030	102	0.367
1062	539	0.229
418	65	0.434
433	378	0.235
570	398	0.785
699	403	0.295
759	342	0.181
1171	137	0.935
130	904	0.966
284	1143	0.165
289	210	0.304
416	957	0.182
740	878	0.361
955	187	0.924
1036	803	0.242
4	978	0.243
10	317	0.268
398	695	0.165
485	877	0.193
630	360	0.25
630	837	0.413
857	354	0.174
1026	894	0.489
8	51	0.18
23	344	0.163
166	256	0.288
166	605	0.323
283	45	0.185
505	31	0.496
734	1158	0.264
773	211	0.171
936	930	0.212
161	59	0.223
172	710	0.171
204	1101	0.218
1058	821	0.301
1058	758	0.538
33	792	0.185
127	101	0.574
219	785	0.385
302	133	0.183
872	1058	0.795
914	389	0.163
96	962	0.944
99	602	0.325
425	963	0.211
432	10	0.297
683	764	0.178
855	394	0.153
882	139	0.26
929	634	0.478
581	298	0.825
655	174	0.454
891	111	0.319
129	283	0.989
340	1132	0.928
664	16	0.171
842	551	0.169
124	437	0.165
125	919	0.263
879	84	0.3
879	534	0.4
879	14	0.707
1006	634	0.536
25	954	0.185
80	360	0.299
365	94	0.294
672	987	0.181
836	91	0.199
963	406	0.251
1084	1152	0.267
32	221	0.256
116	358	0.37
341	972	0.261
782	791	0.177
1118	923	0.198
101	428	0.448
131	119	0.175
152	343	0.19
189	941	0.231
1011	102	0.526
1126		0.176
97	84	0.252
158	120	0.239
158	991	0.237
200	394	0.364
330	167	0.25
355	1031	0.228
355	341	0.21
452	895	0.355
458	178	0.15
614		0.296
819	551	0.297
900	754	0.171
900	519	0.156
1007	524	0.565
1091	820	0.443
1091	981	0.316
1176	989	0.263
19	626	0.186
338	1046	0.226
653	136	0.225
63	603	0.981
85	1108	0.239
536	1074	0.153
585		0.189
766	324	0.189
1108	954	0.188
1108	923	0.88
266	577	0.262
356	715	0.277
948	428	0.162
12	209	0.158
46	5	0.272
81	545	0.169
714	152	0.163
804	169	0.264
873	721	0.713
895	1036	0.293
895	517	0.244
1104	964	0.18
509	308	
555	175	0.302
646	165	0.185
754	962	0.35
863	517	0.8
919	1042	0.251
919	544	0.161
1127	143	0.312
249	57	0.16
407	672	0.528
472	775	0.985
901	541	0.167
1159	9	0.328
38	630	0.377
115	571	0.218
117	1108	0.444
136	899	0.526
168	567	0.189
381	409	0.182
720	416	0.183
292	290	0.469
519	156	0.202
521	1159	0.222
641	151	0.183
666	609	0.28
852	402	0.954
9	1062	0.446
143	774	0.199
319		0.244
408	283	0.377
516	1137	0.507
628	650	0.17
763		0.224
1071	884	0.179
1071	600	0.368
20	351	0.208
140	408	0.275
140	132	0.256
145	519	0.179
183	1140	0.153
598	472	0.181
718	2	0.212
1166	170	0.238
1166	1143	0.241
79	244	0.178
174	655	0.454
274	727	0.193
346		0.203
453	208	0.231
737	1159	0.252
746	779	0.378
1044	964	0.155
209	1018	0.225
279	102	0.179
803	600	0.404
818	1031	0.224
941	734	0.199
953	1125	0.985
226	815	0.188
252	1036	0.468
422	419	0.264
422	88	0.555
808	105	0.202
881	460	0.393
907	881	0.234
923	204	0.244
962	914	0.987
1123	816	0.268
73	818	0.994
222		0.191
256	773	0.182
281	738	0.692
299	997	0.293
610	252	0.804
610	327	0.317
626	563	0.213
1120	836	0.221
59	1058	0.441
797	360	0.185
1010	302	0.917
582	240	0.155
739	1044	0.27
869	201	0.955
897	884	0.707
916	516	0.279
985	369	0.372
26		0.31
100	178	0.22
133		0.234
133	729	0.275
269	904	0.27
374	721	0.425
423	281	0.151
423	586	0.183
534	729	0.228
534		0.434
750	91	0.165
817	231	0.301
829	1104	0.256
964	450	0.201
199	419	0.529
210	999	0.545
211	801	0.281
211	191	0.766
211	1176	0.273
650	438	0.91
7	1145	0.156
290	188	0.383
464	175	0.153
572	426	0.175
605		0.402
699	371	0.207
759	91	0.218
780		0.954
986	722	0.91
271	1047	0.225
284	842	0.202
410	143	0.189
416	411	0.745
511	246	0.304
632	723	0.362
660	517	0.172
955	79	0.156
1000		0.227
1036	887	0.163
208	312	0.2
240	871	0.409
255	1046	0.152
255	626	0.266
1128	612	0.166
31	638	0.37
166	79	0.385
717	857	0.387
773	752	0.204
1033	1025	0.183
84	404	0.304
204	856	0.163
1058	222	0.201
83	981	0.289
504	23	0.188
663	458	0.27
676	1056	0.253
846	1023	0.217
914	803	0.41
981	875	0.303
348	860	0.323
409	975	0.275
425	695	0.173
713	348	0.322
855	1108	0.229
929	1159	0.222
321	456	0.158
581	468	0.999
667	511	0.771
733	360	0.375
733	755	0.158
854	188	0.423
1052	786	0.267
1156	603	0.183
1156	1129	0.26
351	79	0.328
480	277	0.236
947	600	0.175
28	381	0.184
124	1101	0.586
391	824	0.159
454	581	0.551
454	231	0.275
550	669	0.184
560	397	0.213
590	246	0.394
634	686	0.819
649	426	0.348
649	246	0.536
795	14	0.158
795	621	0.243
856	1063	0.971
879	712	0.413
1023	1125	0.285
1129	900	0.336
1137	24	0.238
153	81	0.239
390	24	0.201
790	416	0.174
836	156	0.638
868	750	0.278
902	854	0.36
954	230	0.232
1017	448	0.188
1055	539	0.309
1064		0.178
1084	987	0.27
1084	59	0.277
91	1117	0.447
399	699	0.295
427	1043	0.151
689	96	0.832
974	335	0.251
55	377	0.186
101	144	0.623
101	547	0.198
189	361	0.181
273	282	0.466
412	1158	0.203
435	230	0.357
639	169	0.998
1003	791	0.18
1145	226	0.194
200	240	0.267
452	643	0.509
614	576	0.187
887	76	0.192
1080	1166	0.457
1091	192	0.209
1125	277	0.247
67	714	0.31
169	110	0.272
585	819	0.154
998	1130	0.991
998	1050	0.998
1108	240	0.387
1150	707	0.27
1150	549	0.821
1150		0.162
259	194	0.374
259	189	0.402
326	981	0.177
578	118	0.172
578	826	0.499
643	859	0.359
675	1134	0.241
691	517	0.151
741	193	0.169
983	1143	0.292
382	404	0.253
714	421	0.199
873	249	0.837
1112	1129	0.969
230	601	0.313
363	170	0.169
510	541	0.247
579	255	0.228
611	185	0.74
777	261	0.796
1127	40	0.27
1152	167	0.223
82	664	0.299
186	395	0.422
249	763	0.233
472	653	0.316
631	451	0.271
764	985	0.24
796	857	0.16
807	1120	0.174
901	4	0.27
115	391	0.178
396	321	0.209
715	633	0.163
27	468	0.571
354	807	0.195
385	119	0.704
514	919	0.235
514	184	0.295
519	18	0.315
519	1123	0.464
519	715	0.487
521	879	0.323
617	1171	0.285
641	453	0.169
852	12	0.721
978	156	0.517
999	617	0.175
1083	118	0.293
9	1095	0.239
42	772	0.234
42	898	0.175
244	595	0.287
421	826	0.496
490	524	0.365
628	282	0.338
633	82	0.325
105	439	0.283
105	555	0.52
140	669	0.346
333	398	0.227
530	1043	0.267
1141	769	0.436
79	1034	0.296
220	437	0.236
496	226	0.154
669	567	0.332
669	69	0.367
1054	1133	0.192
45	412	0.278
358	330	0.912
803	399	0.636
803	567	0.784
364	1075	0.349
428	417	0.445
928	132	0.166
231	157	0.218
256	301	0.202
538	1035	0.161
610	9	0.417
752	810	0.551
752	1125	0.941
799	123	0.25
894	1063	0.284
1050	1156	0.739
1120	1023	0.196
1140	1129	0.416
1170	197	0.375
44	503	0.208
59		0.278
315	809	0.158
315	835	0.168
543	791	0.218
931	1074	0.273
956	1029	0.203
956	561	0.594
110	1126	0.388
121	977	0.524
121	207	0.288
405	1137	0.28
816	1071	0.238
897	625	0.26
912	1042	0.309
957	639	0.316
1046	585	0.49
1061	1026	0.151
1069	1101	0.798
423	1157	0.18
623		0.16
750	860	0.193
77	250	0.245
1030	691	0.849
7	207	0.178
69	456	0.511
69	819	0.679
201		0.609
457	833	0.239
457	1140	0.154
572	758	0.156
986	366	0.19
284	859	0.252
289	405	0.154
416		0.162
660	114	0.294
955	1124	0.202
997		0.362
1095	1118	0.999
1131	281	0.154
398	953	0.992
398	37	0.223
398	525	0.186
447	955	0.152
495	443	0.181
166	484	0.198
166	1141	0.798
283	916	0.627
384	469	0.314
411	256	0.155
470	943	0.692
505	1003	0.537
505	880	0.15
723	722	0.297
723	691	0.999
776	816	0.25
1075	1110	0.362
84	120	0.357
132	23	0.188
132	283	0.163
477	1030	0.292
640	279	0.497
820	630	0.799
820	453	0.839
1058	1055	0.253
846	869	0.979
1172	801	0.259
409	412	0.276
589	1104	0.15
882	895	0.162
321	223	0.209
397	653	0.175
581	914	0.965
612	398	0.506
893	448	0.225
340	587	0.23
351	1141	0.194
379	752	0.229
480	617	0.181
668	100	0.561
78	532	0.298
124	185	0.489
454	1031	0.293
596	249	0.187
634	304	0.251
634	879	0.379
748	543	0.184
1035	876	0.204
25	156	0.395
151	942	0.167
524	639	0.227
665	754	0.576
868	521	0.226
963	900	0.299
32	60	0.287
32	495	0.977
116	619	0.667
179	600	0.229
295	98	0.177
399	355	0.454
399	801	0.493
459	543	0.531
483	382	0.183
483	536	0.88
591	1066	0.373
602	450	0.228
689	665	0.396
101	365	0.348
185		0.164
189	571	0.999
412	67	0.32
517	597	0.962
527	539	0.999
527	334	0.347
567	912	0.197
639	775	0.63
639	217	0.853
841	339	0.171
939	9	0.159
1042	924	0.535
200	761	0.197
265	660	0.197
304	873	0.221
355	418	0.28
377	871	0.197
402	756	0.168
546	1158	0.151
614	88	0.165
772	432	0.895
900	32	0.273
967	798	0.209
1125	403	0.28
1176	431	0.183
522	1034	0.293
587	813	0.362
653	879	0.491
684	1038	0.203
724	773	0.402
194	521	0.996
403	646	0.581
762	367	0.182
987	396	0.966
998	961	0.156
1107	744	0.151
313	172	0.999
353	447	0.158
380	412	0.219
675	427	0.162
730	889	0.392
741	900	0.265
1143	14	0.445
46	572	0.161
81	266	0.178
163	196	0.169
188	1172	0.556
188	1054	0.285
195	97	0.67
342	1042	0.223
359	836	0.999
539	1026	0.183
595	162	0.213
895	718	0.459
895	580	0.914
202	684	0.394
440	1125	0.164
735	1044	0.49
82	770	0.198
437	836	0.202
507	543	0.986
571	306	0.175
571	46	0.315
573	131	0.654
599	1050	0.162
807	754	0.184
396	84	0.227
396	288	0.233
396	887	0.48
401	191	0.883
720	1138	0.168
809	672	0.335
809	54	0.395
27	581	0.25
514	121	0.279
666	286	0.64
878	340	0.192
944	1101	0.541
1070	1136	0.472
1083	768	0.181
34	166	0.215
143	888	0.169
143	571	0.449
143	320	0.606
244	26	0.542
248	1072	0.225
404	963	0.889
404	634	0.212
408	46	0.157
421	285	0.205
20	74	0.205
383	88	0.995
549	249	0.172
718	367	0.244
718	545	0.343
220	718	0.286
274	653	0.202
453	1025	0.816
669	290	0.836
737	1083	0.19
746	1015	0.228
871	81	0.252
24	1030	0.213
154	15	0.982
209	1104	0.232
257	511	0.611
934	91	0.676
953	351	0.221
226	933	0.156
252	580	0.312
422	955	0.177
422	499	0.288
428	669	0.218
909	419	0.215
923	520	0.913
962	121	0.371
990	715	0.192
1074	1050	0.239
1123	246	0.303
222	77	0.295
231	489	0.346
299		0.303
815	216	0.585
543	554	0.377
725		0.162
729	396	0.527
876	472	0.181
286	630	0.219
811	586	0.312
869	555	0.19
1022	0	0.242
1046	102	0.204
1069	295	0.179
366	257	0.166
964	585	0.512
976	1070	0.218
339	131	0.253
758	142	0.559
1030	999	0.285
7	956	0.593
7	458	0.233
493	105	0.214
558	1015	0.686
558	192	0.269
572	41	0.824
699	39	0.52
258		0.999
600	242	0.175
918	734	0.289
955	63	0.87
1082	717	0.364
1082	904	0.998
4	412	0.349
4	809	0.305
4	491	0.234
318	900	0.165
469	783	0.571
609	320	0.296
857	251	0.999
1128	376	0.186
8	105	0.298
283	571	0.183
306	29	0.301
312	580	0.193
723	540	0.271
773	265	0.291
773	894	0.36
776	1055	0.265
936	480	0.584
515	855	0.271
544	13	0.251
640	602	0.22
127	707	0.273
690	512	0.18
1172	646	0.909
96	474	0.86
929	34	0.286
397	73	0.507
489	221	0.981
581	1085	0.991
655	536	0.231
655	33	0.999
50	594	0.206
129	809	0.8
129	517	0.974
351	567	0.66
28	543	0.205
75	439	0.22
125	469	0.21
378	661	0.337
378	360	0.702
560	7	0.295
596	721	0.182
596	29	0.219
634	167	0.211
649	670	0.221
1106	365	0.337
1137	1108	0.195
1137	822	0.181
14	96	0.167
170	971	0.34
365	1059	0.207
790	749	0.543
393	797	0.289
394	763	0.233
399	1029	0.393
427	928	0.231
483	633	0.384
483	1104	0.391
689	980	0.191
782	554	0.205
801	1154	0.191
837	809	0.155
896	729	0.253
189	495	0.999
334	60	0.415
412	792	0.159
517	527	0.237
542	36	0.248
825	790	0.216
825	1072	0.278
870	695	0.334
158	422	0.256
158	837	0.517
265	864	0.181
377	324	0.181
546	199	0.272
614	1060	0.269
767	594	0.553
967	738	0.972
1016	1069	0.239
1101	882	0.541
1101	432	0.349
43	1125	0.402
85	1077	0.182
194	166	0.587
528	754	0.153
528	790	0.983
755	519	0.173
766	829	0.183
1031	354	0.359
1031	700	0.199
1107	675	0.22
1108	611	0.254
380	306	0.371
578	844	0.597
643	319	0.473
691	220	0.999
741	151	0.23
741	499	0.231
741	955	0.295
921	719	
927	514	0.302
927	790	0.443
81	746	0.272
206	323	0.281
325	853	0.187
382	779	0.165
804	634	0.383
895	23	0.257
960	521	0.5
476	822	0.245
642	94	0.209
642	233	0.372
727	787	0.179
754	217	0.667
791	598	0.475
791	1125	0.536
1081	753	0.177
1134	472	0.194
437	401	0.214
474	955	0.166
573	126	0.161
757	1010	0.23
36	882	0.243
150	705	0.255
401	1156	0.336
736	675	0.291
27	832	0.998
519	1068	0.196
597	1038	0.164
606	1000	0.371
606	661	0.996
641	410	0.398
666	389	0.338
844	515	0.436
852	987	0.349
1070	295	0.552
9	77	0.182
42	601	0.198
242	136	0.969
244	310	0.153
408	478	0.638
516	527	0.269
520	915	0.683
140	990	0.722
598	675	0.155
788	841	0.158
883	338	0.154
915	601	0.823
915	999	0.856
917	845	0.993
922	429	0.165
1141	596	0.199
1166	144	0.264
61	717	0.165
496	445	0.182
753	1006	0.214
753	609	0.198
753	210	0.283
903	723	0.347
1110	496	0.274
24	1047	0.207
154	110	0.191
157	132	0.344
157	408	0.816
192	46	0.725
209	42	0.306
358	379	0.374
629	380	0.297
993	915	0.165
1144	707	0.32
556	832	0.157
1123	767	0.34
73	1075	0.355
141	990	0.367
281	298	0.317
285	788	0.169
553	442	0.154
610	358	0.999
626	198	0.234
752	519	0.332
799	492	0.191
400	1082	0.258
674	396	0.797
725	841	0.331
167	433	0.243
405	883	0.491
537	194	0.174
739	514	0.242
816	583	0.233
869	972	0.248
985	101	0.413
1069	252	0.323
1069	448	0.169
162	185	0.997
269	39	0.175
415	994	0.9
833	166	0.404
833		0.309
94	162	0.254
251	994	0.201
261	1128	0.166
339	604	0.154
588	884	0.263
798	1137	0.218
877	338	0.28
290	585	0.328
290	341	0.227
317	1107	0.218
322	167	0.191
551	322	0.571
632	967	0.258
1053	913	0.253
208	755	0.178
237	549	0.221
240	899	0.41
255	578	0.203
630	975	0.246
1128	785	0.243
166	52	0.163
166	232	0.436
166	1010	0.949
283	727	0.158
411	431	0.222
773	1172	0.204
936	654	0.235
246	809	0.634
477	867	0.248
477	741	0.25
477	638	0.328
515	660	0.368
545	458	0.284
545	233	0.547
670	130	0.263
862	30	0.249
1058	987	0.261
301	844	0.185
426	1013	0.156
434	723	0.179
768	297	0.175
768	29	0.669
1172	594	0.251
87	55	0.175
262	360	0.306
344	198	0.35
344	728	0.197
929	656	0.162
113	451	0.24
774	1075	0.376
854	226	0.393
340	496	0.164
535	1011	0.216
552	1135	0.766
947	1	0.817
144	365	0.453
144	764	0.303
378	1107	0.251
748	0	0.22
783	588	0.274
795	758	0.2
795	588	0.303
856	1018	0.949
856	86	0.962
879	222	0.921
989	805	0.307
1006	1027	0.224
14	156	0.345
70	613	0.828
456	535	0.204
524	355	0.282
954	1143	0.787
963	284	0.162
459	260	0.446
782	539	0.606
782	625	0.166
782	480	0.184
782	953	0.538
837	1046	0.164
1085	783	0.999
1085	555	0.967
55	166	0.934
189	270	0.546
189	1154	0.364
217	524	0.526
298	1134	0.209
334	136	0.558
527	1048	0.163
792	1159	0.282
1057	755	0.185
1126	864	0.218
1091	847	0.203
1091	761	0.19
1091	895	0.153
49	1027	0.163
49	57	0.984
338	785	0.853
951	433	0.673
1101	314	0.156
1101	756	0.468
43	579	0.183
60	599	0.837
63	432	0.255
85	882	0.306
403	490	0.279
455	373	0.31
455	64	0.465
585	46	0.237
987	152	0.446
1107	864	0.296
250	883	0.665
353	620	0.153
473	453	0.189
675	143	0.521
906	1124	0.303
983	871	0.325
983	199	0.373
983	328	0.499
81	495	0.174
188	714	0.173
431	923	0.601
566	11	0.211
805	451	0.162
805	816	0.208
873	895	0.246
904	162	0.861
943	882	0.336
960	939	0.347
11	882	0.268
555	829	0.189
611	1085	0.318
646	1019	0.169
599	252	0.234
599	1136	0.416
807	333	0.881
98	675	0.882
136	222	0.218
396	368	0.165
396	525	0.183
396	1058	0.284
839	656	0.512
898	1038	0.225
991	1042	0.93
1138	783	0.223
239	1076	0.667
519	876	0.265
521	369	0.157
844	836	0.527
944	855	0.218
999	78	0.283
1025	570	0.22
1048	1172	0.247
1070	814	0.373
9	423	0.157
34	273	0.51
143	1070	0.162
216	599	0.214
421	842	0.165
490	883	0.376
490	1123	0.152
516	739	0.167
105	975	0.368
145	752	0.662
549	793	0.942
598	251	0.183
598	839	0.644
1130	664	0.164
1141	248	0.158
1141	398	0.31
61	587	0.488
346	508	0.447
508	887	0.786
871	412	0.29
903	797	0.253
24	67	0.183
120	415	0.197
941	256	0.962
953	196	0.231
980	408	0.764
993	646	0.203
54	1057	0.161
226	594	0.191
252	766	0.254
364	231	0.265
364	145	0.945
909	954	0.709
73	649	0.99
73	378	0.563
73	1042	0.224
141	322	0.188
231	943	0.34
285	315	0.337
376	97	0.568
538	1082	0.23
561	807	0.158
626	1142	0.206
799	476	0.248
826	953	0.187
1005	826	0.201
1140	955	0.205
2	50	0.156
118	737	0.232
463	129	0.833
541	1108	0.203
702	399	0.362
956	270	0.977
956	421	0.209
972	246	0.264
972	543	0.274
1133	209	0.322
16	55	0.155
537	967	0.288
582	107	0.265
652	84	0.162
957	797	0.873
1061	390	0.213
133	483	0.251
451	922	0.321
607	30	0.267
976	446	0.226
210	1038	0.213
201	454	0.167
433	876	0.161
570	632	0.21
743	457	0.39
284	446	0.814
446	684	0.176
600	478	0.641
657	1075	0.18
835	1071	0.175
918	865	0.422
1082	1095	0.318
1131	1117	0.999
240	397	0.303
389	19	0.217
775	741	0.288
1128	1110	0.995
283	162	0.539
283	736	0.172
384	589	0.156
411	205	0.302
574	4	0.175
734	857	0.268
1033	999	0.305
187	975	0.408
15	168	0.206
721	1052	0.233
1142	660	0.378
37	957	0.768
76	144	0.303
233	956	0.912
409	675	0.287
432	43	0.168
683	904	0.551
683	684	0.329
813	847	0.226
929	1033	0.532
228	485	0.892
489	447	0.74
581	517	0.977
612	934	0.271
793	1035	0.287
1063	102	0.32
351	534	0.239
351	14	0.434
379	437	0.251
842	4	0.247
360	735	0.247
378	613	0.283
550	256	0.161
596	366	0.434
783	222	0.348
879	631	0.236
989	1006	0.204
1137	870	0.204
14	440	0.236
25	576	0.196
151	883	0.255
153	924	0.944
726	362	0.966
868	440	0.19
1084	547	0.237
91	246	0.69
309	721	0.562
399	1009	0.232
525	951	0.51
39	898	0.275
101	712	0.321
131	167	0.155
298	790	0.874
569	191	0.196
825	585	0.187
841	167	0.285
1011	220	0.328
1057	504	0.187
97	588	0.182
97	181	0.354
158	348	0.17
265	264	0.27
458	1125	0.797
767	801	0.284
772	157	0.256
772	683	0.261
887	888	0.244
1091	91	0.327
1125	1127	0.913
49	462	0.284
49	118	0.229
49	763	0.373
43	213	0.237
85	541	0.581
528	585	0.201
528	71	0.317
266	341	0.238
266	392	0.269
310	209	0.229
380	31	0.921
890	194	0.253
948	1010	0.206
46	1050	0.167
81	168	0.206
382	956	0.867
714	556	0.211
555	228	0.997
579	356	0.166
579	121	0.31
642	354	0.38
642	4	0.396
1127	9	0.167
507	230	0.301
540	54	0.251
671	726	0.999
901	142	0.576
908	357	0.172
38	1016	0.31
1138	211	0.316
27	1036	0.223
354	462	0.321
519	661	0.27
521	320	0.245
606	172	0.176
641	1108	0.639
786	1091	0.186
844	371	0.276
844	154	0.408
875	131	0.154
944	626	0.206
978	877	0.165
42	521	0.378
143	117	0.158
159	1151	0.319
314	723	0.271
404	844	0.804
633	619	0.213
105	580	0.15
105	1075	0.489
