sample_id	population_description
HG02625	"Gambian in Western Division, The Gambia"
HG02628	"Gambian in Western Division, The Gambia"
HG02629	"Gambian in Western Division, The Gambia"
HG02630	"Gambian in Western Division, The Gambia"
HG02634	"Gambian in Western Division, The Gambia"
HG02635	"Gambian in Western Division, The Gambia"
HG02636	"Gambian in Western Division, The Gambia"
HG02642	"Gambian in Western Division, The Gambia"
HG02643	"Gambian in Western Division, The Gambia"
HG02644	"Gambian in Western Division, The Gambia"
HG02645	"Gambian in Western Division, The Gambia"
HG02646	"Gambian in Western Division, The Gambia"
HG02647	"Gambian in Western Division, The Gambia"
HG02648	"Punjabi in Lahore,Pakistan"
HG02649	"Punjabi in Lahore,Pakistan"
HG02650	"Punjabi in Lahore,Pakistan"
HG02651	"Punjabi in Lahore,Pakistan"
HG02652	"Punjabi in Lahore,Pakistan"
HG02653	"Punjabi in Lahore,Pakistan"
HG02654	"Punjabi in Lahore,Pakistan"
HG02655	"Punjabi in Lahore,Pakistan"
HG02656	"Punjabi in Lahore,Pakistan"
HG02657	"Punjabi in Lahore,Pakistan"
HG02658	"Punjabi in Lahore,Pakistan"
HG02659	"Punjabi in Lahore,Pakistan"
HG02660	"Punjabi in Lahore,Pakistan"
HG02661	"Punjabi in Lahore,Pakistan"
HG02662	"Punjabi in Lahore,Pakistan"
HG02666	"Gambian in Western Division, The Gambia"
HG02667	"Gambian in Western Division, The Gambia"
HG02668	"Gambian in Western Division, The Gambia"
HG02675	"Gambian in Western Division, The Gambia"
HG02676	"Gambian in Western Division, The Gambia"
HG02677	"Gambian in Western Division, The Gambia"
HG02678	"Gambian in Western Division, The Gambia"
HG02679	"Gambian in Western Division, The Gambia"
HG02680	"Gambian in Western Division, The Gambia"
HG02681	"Punjabi in Lahore,Pakistan"
HG02682	"Punjabi in Lahore,Pakistan"
HG02683	"Punjabi in Lahore,Pakistan"
HG02684	"Punjabi in Lahore,Pakistan"
HG02685	"Punjabi in Lahore,Pakistan"
HG02686	"Punjabi in Lahore,Pakistan"
HG02687	"Punjabi in Lahore,Pakistan"
HG02688	"Punjabi in Lahore,Pakistan"
HG02689	"Punjabi in Lahore,Pakistan"
HG02690	"Punjabi in Lahore,Pakistan"
HG02691	"Punjabi in Lahore,Pakistan"
HG02692	"Punjabi in Lahore,Pakistan"
HG02694	"Punjabi in Lahore,Pakistan"
HG02696	"Punjabi in Lahore,Pakistan"
HG02697	"Punjabi in Lahore,Pakistan"
HG02698	"Punjabi in Lahore,Pakistan"
HG02699	"Punjabi in Lahore,Pakistan"
HG02700	"Punjabi in Lahore,Pakistan"
HG02701	"Punjabi in Lahore,Pakistan"
HG02702	"Gambian in Western Division, The Gambia"
HG02703	"Gambian in Western Division, The Gambia"
HG02704	"Gambian in Western Division, The Gambia"
HG02715	"Gambian in Western Division, The Gambia"
HG02716	"Gambian in Western Division, The Gambia"
HG02717	"Gambian in Western Division, The Gambia"
HG02721	"Gambian in Western Division, The Gambia"
HG02722	"Gambian in Western Division, The Gambia"
HG02723	"Gambian in Western Division, The Gambia"
HG02724	"Punjabi in Lahore,Pakistan"
HG02725	"Punjabi in Lahore,Pakistan"
HG02726	"Punjabi in Lahore,Pakistan"
HG02727	"Punjabi in Lahore,Pakistan"
HG02728	"Punjabi in Lahore,Pakistan"
HG02729	"Punjabi in Lahore,Pakistan"
HG02731	"Punjabi in Lahore,Pakistan"
HG02733	"Punjabi in Lahore,Pakistan"
HG02734	"Punjabi in Lahore,Pakistan"
HG02735	"Punjabi in Lahore,Pakistan"
HG02736	"Punjabi in Lahore,Pakistan"
HG02737	"Punjabi in Lahore,Pakistan"
HG02738	"Punjabi in Lahore,Pakistan"
HG02756	"Gambian in Western Division, The Gambia"
HG02757	"Gambian in Western Division, The Gambia"
HG02758	"Gambian in Western Division, The Gambia"
HG02759	"Gambian in Western Division, The Gambia"
HG02760	"Gambian in Western Division, The Gambia"
HG02761	"Gambian in Western Division, The Gambia"
HG02762	"Gambian in Western Division, The Gambia"
HG02763	"Gambian in Western Division, The Gambia"
HG02764	"Gambian in Western Division, The Gambia"
HG02768	"Gambian in Western Division, The Gambia"
HG02769	"Gambian in Western Division, The Gambia"
HG02770	"Gambian in Western Division, The Gambia"
HG02771	"Gambian in Western Division, The Gambia"
HG02772	"Gambian in Western Division, The Gambia"
HG02773	"Gambian in Western Division, The Gambia"
HG02774	"Punjabi in Lahore,Pakistan"
HG02775	"Punjabi in Lahore,Pakistan"
HG02776	"Punjabi in Lahore,Pakistan"
HG02778	"Punjabi in Lahore,Pakistan"
HG02779	"Punjabi in Lahore,Pakistan"
HG02780	"Punjabi in Lahore,Pakistan"
HG02781	"Punjabi in Lahore,Pakistan"
HG02783	"Punjabi in Lahore,Pakistan"
HG02784	"Punjabi in Lahore,Pakistan"
HG02785	"Punjabi in Lahore,Pakistan"
HG02786	"Punjabi in Lahore,Pakistan"
HG02787	"Punjabi in Lahore,Pakistan"
HG02788	"Punjabi in Lahore,Pakistan"
HG02789	"Punjabi in Lahore,Pakistan"
HG02790	"Punjabi in Lahore,Pakistan"
HG02791	"Punjabi in Lahore,Pakistan"
HG02792	"Punjabi in Lahore,Pakistan"
HG02793	"Punjabi in Lahore,Pakistan"
HG02794	"Punjabi in Lahore,Pakistan"
HG02798	"Gambian in Western Division, The Gambia"
HG02799	"Gambian in Western Division, The Gambia"
HG02800	"Gambian in Western Division, The Gambia"
HG02804	"Gambian in Western Division, The Gambia"
HG02805	"Gambian in Western Division, The Gambia"
HG02806	"Gambian in Western Division, The Gambia"
HG02807	"Gambian in Western Division, The Gambia"
HG02808	"Gambian in Western Division, The Gambia"
HG02809	"Gambian in Western Division, The Gambia"
HG02810	"Gambian in Western Division, The Gambia"
HG02811	"Gambian in Western Division, The Gambia"
HG02812	"Gambian in Western Division, The Gambia"
HG02813	"Gambian in Western Division, The Gambia"
HG02814	"Gambian in Western Division, The Gambia"
HG02815	"Gambian in Western Division, The Gambia"
HG02816	"Gambian in Western Division, The Gambia"
HG02817	"Gambian in Western Division, The Gambia"
HG02818	"Gambian in Western Division, The Gambia"
HG02819	"Gambian in Western Division, The Gambia"
HG02820	"Gambian in Western Division, The Gambia"
HG02821	"Gambian in Western Division, The Gambia"
HG02836	"Gambian in Western Division, The Gambia"
HG02837	"Gambian in Western Division, The Gambia"
HG02838	"Gambian in Western Division, The Gambia"
HG02839	"Gambian in Western Division, The Gambia"
HG02840	"Gambian in Western Division, The Gambia"
HG02841	"Gambian in Western Division, The Gambia"
HG02851	"Gambian in Western Division, The Gambia"
HG02852	"Gambian in Western Division, The Gambia"
HG02853	"Gambian in Western Division, The Gambia"
HG02854	"Gambian in Western Division, The Gambia"
HG02855	"Gambian in Western Division, The Gambia"
HG02856	"Gambian in Western Division, The Gambia"
HG02860	"Gambian in Western Division, The Gambia"
HG02861	"Gambian in Western Division, The Gambia"
HG02862	"Gambian in Western Division, The Gambia"
HG02869	"Gambian in Western Division, The Gambia"
HG02870	"Gambian in Western Division, The Gambia"
HG02871	"Gambian in Western Division, The Gambia"
HG02878	"Gambian in Western Division, The Gambia"
HG02879	"Gambian in Western Division, The Gambia"
HG02880	"Gambian in Western Division, The Gambia"
HG02881	"Gambian in Western Division, The Gambia"
HG02882	"Gambian in Western Division, The Gambia"
HG02883	"Gambian in Western Division, The Gambia"
HG02884	"Gambian in Western Division, The Gambia"
HG02885	"Gambian in Western Division, The Gambia"
HG02886	"Gambian in Western Division, The Gambia"
HG02887	"Gambian in Western Division, The Gambia"
HG02888	"Gambian in Western Division, The Gambia"
HG02889	"Gambian in Western Division, The Gambia"
HG02890	"Gambian in Western Division, The Gambia"
HG02891	"Gambian in Western Division, The Gambia"
HG02892	"Gambian in Western Division, The Gambia"
HG02895	"Gambian in Western Division, The Gambia"
HG02896	"Gambian in Western Division, The Gambia"
HG02897	"Gambian in Western Division, The Gambia"
HG02922	Esan in Nigeria
HG02923	Esan in Nigeria
HG02924	Esan in Nigeria
HG02938	Esan in Nigeria
HG02939	Esan in Nigeria
HG02941	Esan in Nigeria
HG02942	Esan in Nigeria
HG02943	Esan in Nigeria
HG02944	Esan in Nigeria
HG02945	Esan in Nigeria
HG02946	Esan in Nigeria
HG02947	Esan in Nigeria
HG02948	Esan in Nigeria
HG02952	Esan in Nigeria
HG02953	Esan in Nigeria
HG02954	Esan in Nigeria
HG02964	Esan in Nigeria
HG02965	Esan in Nigeria
HG02966	Esan in Nigeria
HG02968	Esan in Nigeria
HG02969	Esan in Nigeria
HG02970	Esan in Nigeria
HG02971	Esan in Nigeria
HG02972	Esan in Nigeria
HG02973	Esan in Nigeria
HG02974	Esan in Nigeria
HG02975	Esan in Nigeria
HG02976	Esan in Nigeria
HG02977	Esan in Nigeria
HG02978	Esan in Nigeria
HG02979	Esan in Nigeria
HG02980	Esan in Nigeria
HG02981	Esan in Nigeria
HG02982	"Gambian in Western Division, The Gambia"
HG02983	"Gambian in Western Division, The Gambia"
HG02984	"Gambian in Western Division, The Gambia"
HG03006	Bengali in Bangladesh
HG03007	Bengali in Bangladesh
HG03008	Bengali in Bangladesh
HG03009	Bengali in Bangladesh
HG03012	Bengali in Bangladesh
HG03015	"Punjabi in Lahore,Pakistan"
HG03016	"Punjabi in Lahore,Pakistan"
HG03017	"Punjabi in Lahore,Pakistan"
HG03018	"Punjabi in Lahore,Pakistan"
HG03019	"Punjabi in Lahore,Pakistan"
HG03021	"Punjabi in Lahore,Pakistan"
HG03022	"Punjabi in Lahore,Pakistan"
HG03023	"Punjabi in Lahore,Pakistan"
HG03024	"Gambian in Western Division, The Gambia"
HG03025	"Gambian in Western Division, The Gambia"
HG03026	"Gambian in Western Division, The Gambia"
HG03027	"Gambian in Western Division, The Gambia"
HG03028	"Gambian in Western Division, The Gambia"
HG03029	"Gambian in Western Division, The Gambia"
HG03033	"Gambian in Western Division, The Gambia"
HG03034	"Gambian in Western Division, The Gambia"
HG03035	"Gambian in Western Division, The Gambia"
HG03039	"Gambian in Western Division, The Gambia"
HG03040	"Gambian in Western Division, The Gambia"
HG03041	"Gambian in Western Division, The Gambia"
HG03045	"Gambian in Western Division, The Gambia"
HG03046	"Gambian in Western Division, The Gambia"
HG03047	"Gambian in Western Division, The Gambia"
HG03048	"Gambian in Western Division, The Gambia"
HG03049	"Gambian in Western Division, The Gambia"
HG03050	"Gambian in Western Division, The Gambia"
HG03052	Mende in Sierra Leone
HG03053	Mende in Sierra Leone
HG03054	Mende in Sierra Leone
HG03055	Mende in Sierra Leone
HG03056	Mende in Sierra Leone
HG03057	Mende in Sierra Leone
HG03058	Mende in Sierra Leone
HG03059	Mende in Sierra Leone
HG03060	Mende in Sierra Leone
HG03061	Mende in Sierra Leone
HG03062	Mende in Sierra Leone
HG03063	Mende in Sierra Leone
HG03064	Mende in Sierra Leone
HG03065	Mende in Sierra Leone
HG03066	Mende in Sierra Leone
HG03069	Mende in Sierra Leone
HG03072	Mende in Sierra Leone
HG03073	Mende in Sierra Leone
HG03074	Mende in Sierra Leone
HG03076	Mende in Sierra Leone
HG03077	Mende in Sierra Leone
HG03078	Mende in Sierra Leone
HG03079	Mende in Sierra Leone
HG03080	Mende in Sierra Leone
HG03081	Mende in Sierra Leone
HG03082	Mende in Sierra Leone
HG03084	Mende in Sierra Leone
HG03085	Mende in Sierra Leone
HG03086	Mende in Sierra Leone
HG03088	Mende in Sierra Leone
HG03091	Mende in Sierra Leone
HG03095	Mende in Sierra Leone
HG03096	Mende in Sierra Leone
HG03097	Mende in Sierra Leone
HG03098	Mende in Sierra Leone
HG03099	Esan in Nigeria
HG03100	Esan in Nigeria
HG03101	Esan in Nigeria
HG03103	Esan in Nigeria
HG03104	Esan in Nigeria
HG03105	Esan in Nigeria
HG03107	Esan in Nigeria
HG03108	Esan in Nigeria
HG03109	Esan in Nigeria
HG03110	Esan in Nigeria
HG03111	Esan in Nigeria
HG03112	Esan in Nigeria
HG03113	Esan in Nigeria
HG03114	Esan in Nigeria
HG03115	Esan in Nigeria
HG03116	Esan in Nigeria
HG03117	Esan in Nigeria
HG03118	Esan in Nigeria
HG03119	Esan in Nigeria
HG03120	Esan in Nigeria
HG03121	Esan in Nigeria
HG03122	Esan in Nigeria
HG03123	Esan in Nigeria
HG03124	Esan in Nigeria
HG03125	Esan in Nigeria
HG03126	Esan in Nigeria
HG03127	Esan in Nigeria
HG03128	Esan in Nigeria
HG03129	Esan in Nigeria
HG03130	Esan in Nigeria
HG03131	Esan in Nigeria
HG03132	Esan in Nigeria
HG03133	Esan in Nigeria
HG03134	Esan in Nigeria
HG03135	Esan in Nigeria
HG03136	Esan in Nigeria
HG03137	Esan in Nigeria
HG03139	Esan in Nigeria
HG03140	Esan in Nigeria
HG03157	Esan in Nigeria
HG03158	Esan in Nigeria
HG03159	Esan in Nigeria
HG03160	Esan in Nigeria
HG03161	Esan in Nigeria
HG03162	Esan in Nigeria
HG03163	Esan in Nigeria
HG03164	Esan in Nigeria
HG03166	Esan in Nigeria
HG03167	Esan in Nigeria
HG03168	Esan in Nigeria
HG03169	Esan in Nigeria
HG03170	Esan in Nigeria
HG03171	Esan in Nigeria
HG03172	Esan in Nigeria
HG03173	Esan in Nigeria
HG03175	Esan in Nigeria
HG03176	Esan in Nigeria
HG03189	Esan in Nigeria
HG03190	Esan in Nigeria
HG03191	Esan in Nigeria
HG03193	Esan in Nigeria
HG03194	Esan in Nigeria
HG03195	Esan in Nigeria
HG03196	Esan in Nigeria
HG03197	Esan in Nigeria
HG03198	Esan in Nigeria
HG03199	Esan in Nigeria
HG03200	Esan in Nigeria
HG03202	Esan in Nigeria
HG03203	Esan in Nigeria
HG03209	Mende in Sierra Leone
HG03212	Mende in Sierra Leone
HG03224	Mende in Sierra Leone
HG03225	Mende in Sierra Leone
HG03228	"Punjabi in Lahore,Pakistan"
HG03229	"Punjabi in Lahore,Pakistan"
HG03230	"Punjabi in Lahore,Pakistan"
HG03234	"Punjabi in Lahore,Pakistan"
HG03235	"Punjabi in Lahore,Pakistan"
HG03236	"Punjabi in Lahore,Pakistan"
HG03237	"Punjabi in Lahore,Pakistan"
HG03238	"Punjabi in Lahore,Pakistan"
HG03239	"Punjabi in Lahore,Pakistan"
HG03240	"Gambian in Western Division, The Gambia"
HG03241	"Gambian in Western Division, The Gambia"
HG03242	"Gambian in Western Division, The Gambia"
HG03246	"Gambian in Western Division, The Gambia"
HG03247	"Gambian in Western Division, The Gambia"
HG03248	"Gambian in Western Division, The Gambia"
HG03249	"Gambian in Western Division, The Gambia"
HG03250	"Gambian in Western Division, The Gambia"
HG03251	"Gambian in Western Division, The Gambia"
HG03258	"Gambian in Western Division, The Gambia"
HG03259	"Gambian in Western Division, The Gambia"
HG03260	"Gambian in Western Division, The Gambia"
HG03265	Esan in Nigeria
HG03266	Esan in Nigeria
HG03267	Esan in Nigeria
HG03268	Esan in Nigeria
HG03269	Esan in Nigeria
HG03270	Esan in Nigeria
HG03271	Esan in Nigeria
HG03272	Esan in Nigeria
HG03279	Esan in Nigeria
HG03280	Esan in Nigeria
HG03291	Esan in Nigeria
HG03293	Esan in Nigeria
HG03294	Esan in Nigeria
HG03295	Esan in Nigeria
HG03296	Esan in Nigeria
HG03297	Esan in Nigeria
HG03298	Esan in Nigeria
HG03299	Esan in Nigeria
HG03300	Esan in Nigeria
HG03301	Esan in Nigeria
HG03302	Esan in Nigeria
HG03303	Esan in Nigeria
HG03304	Esan in Nigeria
HG03305	Esan in Nigeria
HG03306	Esan in Nigeria
HG03307	Esan in Nigeria
HG03308	Esan in Nigeria
HG03309	Esan in Nigeria
HG03310	Esan in Nigeria
HG03311	Esan in Nigeria
HG03312	Esan in Nigeria
HG03313	Esan in Nigeria
HG03314	Esan in Nigeria
HG03339	Esan in Nigeria
HG03341	Esan in Nigeria
HG03342	Esan in Nigeria
HG03343	Esan in Nigeria
HG03344	Esan in Nigeria
HG03350	Esan in Nigeria
HG03351	Esan in Nigeria
HG03352	Esan in Nigeria
HG03354	Esan in Nigeria
HG03361	Esan in Nigeria
HG03362	Esan in Nigeria
HG03363	Esan in Nigeria
HG03365	Esan in Nigeria
HG03366	Esan in Nigeria
HG03367	Esan in Nigeria
HG03368	Esan in Nigeria
HG03369	Esan in Nigeria
HG03370	Esan in Nigeria
HG03371	Esan in Nigeria
HG03372	Esan in Nigeria
HG03373	Esan in Nigeria
HG03374	Esan in Nigeria
HG03376	Mende in Sierra Leone
HG03378	Mende in Sierra Leone
HG03380	Mende in Sierra Leone
HG03381	Mende in Sierra Leone
HG03382	Mende in Sierra Leone
HG03383	Mende in Sierra Leone
HG03384	Mende in Sierra Leone
HG03385	Mende in Sierra Leone
HG03388	Mende in Sierra Leone
HG03390	Mende in Sierra Leone
HG03391	Mende in Sierra Leone
HG03393	Mende in Sierra Leone
HG03394	Mende in Sierra Leone
HG03397	Mende in Sierra Leone
HG03398	Mende in Sierra Leone
HG03399	Mende in Sierra Leone
HG03401	Mende in Sierra Leone
HG03402	Mende in Sierra Leone
HG03408	Mende in Sierra Leone
HG03410	Mende in Sierra Leone
HG03411	Mende in Sierra Leone
HG03419	Mende in Sierra Leone
HG03428	Mende in Sierra Leone
HG03431	Mende in Sierra Leone
HG03432	Mende in Sierra Leone
HG03433	Mende in Sierra Leone
HG03436	Mende in Sierra Leone
HG03437	Mende in Sierra Leone
HG03438	Mende in Sierra Leone
HG03439	Mende in Sierra Leone
HG03442	Mende in Sierra Leone
HG03445	Mende in Sierra Leone
HG03446	Mende in Sierra Leone
HG03449	Mende in Sierra Leone
HG03450	Mende in Sierra Leone
HG03451	Mende in Sierra Leone
HG03452	Mende in Sierra Leone
HG03453	Mende in Sierra Leone
HG03454	Mende in Sierra Leone
HG03455	Mende in Sierra Leone
HG03456	Mende in Sierra Leone
HG03457	Mende in Sierra Leone
HG03458	Mende in Sierra Leone
HG03459	Mende in Sierra Leone
HG03460	Mende in Sierra Leone
HG03461	Mende in Sierra Leone
HG03462	Mende in Sierra Leone
HG03464	Mende in Sierra Leone
HG03465	Mende in Sierra Leone
HG03466	Mende in Sierra Leone
HG03468	Mende in Sierra Leone
HG03469	Mende in Sierra Leone
HG03470	Mende in Sierra Leone
HG03471	Mende in Sierra Leone
HG03472	Mende in Sierra Leone
HG03473	Mende in Sierra Leone
HG03474	Mende in Sierra Leone
HG03476	Mende in Sierra Leone
HG03477	Mende in Sierra Leone
HG03478	Mende in Sierra Leone
HG03479	Mende in Sierra Leone
HG03480	Mende in Sierra Leone
HG03484	Mende in Sierra Leone
HG03485	Mende in Sierra Leone
HG03486	Mende in Sierra Leone
HG03487	"Punjabi in Lahore,Pakistan"
HG03488	"Punjabi in Lahore,Pakistan"
HG03489	"Punjabi in Lahore,Pakistan"
HG03490	"Punjabi in Lahore,Pakistan"
HG03491	"Punjabi in Lahore,Pakistan"
HG03492	"Punjabi in Lahore,Pakistan"
HG03493	Esan in Nigeria
HG03499	Esan in Nigeria
HG03508	Esan in Nigeria
HG03510	Esan in Nigeria
HG03511	Esan in Nigeria
HG03513	Esan in Nigeria
HG03514	Esan in Nigeria
HG03515	Esan in Nigeria
HG03516	Esan in Nigeria
HG03517	Esan in Nigeria
HG03518	Esan in Nigeria
HG03519	Esan in Nigeria
HG03520	Esan in Nigeria
HG03521	Esan in Nigeria
HG03522	Esan in Nigeria
HG03538	"Gambian in Western Division, The Gambia"
HG03539	"Gambian in Western Division, The Gambia"
HG03540	"Gambian in Western Division, The Gambia"
HG03547	Mende in Sierra Leone
HG03548	Mende in Sierra Leone
HG03549	Mende in Sierra Leone
HG03556	Mende in Sierra Leone
HG03557	Mende in Sierra Leone
HG03558	Mende in Sierra Leone
HG03559	Mende in Sierra Leone
HG03563	Mende in Sierra Leone
HG03564	Mende in Sierra Leone
HG03565	Mende in Sierra Leone
HG03566	Mende in Sierra Leone
HG03567	Mende in Sierra Leone
HG03569	Mende in Sierra Leone
HG03571	Mende in Sierra Leone
HG03572	Mende in Sierra Leone
HG03574	Mende in Sierra Leone
HG03575	Mende in Sierra Leone
HG03576	Mende in Sierra Leone
HG03577	Mende in Sierra Leone
HG03578	Mende in Sierra Leone
HG03579	Mende in Sierra Leone
HG03582	Mende in Sierra Leone
HG03583	Mende in Sierra Leone
HG03584	Mende in Sierra Leone
HG03585	Bengali in Bangladesh
HG03587	Bengali in Bangladesh
HG03589	Bengali in Bangladesh
HG03590	Bengali in Bangladesh
HG03593	Bengali in Bangladesh
HG03594	Bengali in Bangladesh
HG03595	Bengali in Bangladesh
HG03596	Bengali in Bangladesh
HG03598	Bengali in Bangladesh
HG03599	Bengali in Bangladesh
HG03600	Bengali in Bangladesh
HG03602	Bengali in Bangladesh
HG03603	Bengali in Bangladesh
HG03604	Bengali in Bangladesh
HG03605	Bengali in Bangladesh
HG03606	Bengali in Bangladesh
HG03607	Bengali in Bangladesh
HG03611	Bengali in Bangladesh
HG03615	Bengali in Bangladesh
HG03616	Bengali in Bangladesh
HG03617	Bengali in Bangladesh
HG03618	"Punjabi in Lahore,Pakistan"
HG03619	"Punjabi in Lahore,Pakistan"
HG03620	"Punjabi in Lahore,Pakistan"
HG03621	"Punjabi in Lahore,Pakistan"
HG03624	"Punjabi in Lahore,Pakistan"
HG03625	"Punjabi in Lahore,Pakistan"
HG03626	"Punjabi in Lahore,Pakistan"
HG03629	"Punjabi in Lahore,Pakistan"
HG03631	"Punjabi in Lahore,Pakistan"
HG03633	"Punjabi in Lahore,Pakistan"
HG03634	"Punjabi in Lahore,Pakistan"
HG03635	"Punjabi in Lahore,Pakistan"
HG03636	"Punjabi in Lahore,Pakistan"
HG03638	"Punjabi in Lahore,Pakistan"
HG03639	"Punjabi in Lahore,Pakistan"
HG03640	"Punjabi in Lahore,Pakistan"
HG03641	"Punjabi in Lahore,Pakistan"
HG03642	Sri Lankan Tamil in the UK
HG03643	Sri Lankan Tamil in the UK
HG03644	Sri Lankan Tamil in the UK
HG03645	Sri Lankan Tamil in the UK
HG03646	Sri Lankan Tamil in the UK
HG03649	"Punjabi in Lahore,Pakistan"
HG03650	"Punjabi in Lahore,Pakistan"
HG03651	"Punjabi in Lahore,Pakistan"
HG03652	"Punjabi in Lahore,Pakistan"
HG03653	"Punjabi in Lahore,Pakistan"
HG03654	"Punjabi in Lahore,Pakistan"
HG03656	"Punjabi in Lahore,Pakistan"
HG03657	"Punjabi in Lahore,Pakistan"
HG03660	"Punjabi in Lahore,Pakistan"
HG03663	"Punjabi in Lahore,Pakistan"
HG03667	"Punjabi in Lahore,Pakistan"
HG03668	"Punjabi in Lahore,Pakistan"
HG03669	"Punjabi in Lahore,Pakistan"
HG03672	Sri Lankan Tamil in the UK
HG03673	Sri Lankan Tamil in the UK
HG03679	Sri Lankan Tamil in the UK
HG03680	Sri Lankan Tamil in the UK
HG03681	Sri Lankan Tamil in the UK
HG03682	Sri Lankan Tamil in the UK
HG03683	Sri Lankan Tamil in the UK
HG03684	Sri Lankan Tamil in the UK
HG03685	Sri Lankan Tamil in the UK
HG03686	Sri Lankan Tamil in the UK
HG03687	Sri Lankan Tamil in the UK
HG03688	Sri Lankan Tamil in the UK
HG03689	Sri Lankan Tamil in the UK
HG03690	Sri Lankan Tamil in the UK
HG03691	Sri Lankan Tamil in the UK
HG03692	Sri Lankan Tamil in the UK
HG03693	Sri Lankan Tamil in the UK
HG03694	Sri Lankan Tamil in the UK
HG03695	Sri Lankan Tamil in the UK
HG03696	Sri Lankan Tamil in the UK
HG03697	Sri Lankan Tamil in the UK
HG03698	Sri Lankan Tamil in the UK
HG03699	"Punjabi in Lahore,Pakistan"
HG03700	"Punjabi in Lahore,Pakistan"
HG03701	"Punjabi in Lahore,Pakistan"
HG03702	"Punjabi in Lahore,Pakistan"
HG03703	"Punjabi in Lahore,Pakistan"
HG03704	"Punjabi in Lahore,Pakistan"
HG03705	"Punjabi in Lahore,Pakistan"
HG03706	"Punjabi in Lahore,Pakistan"
HG03707	"Punjabi in Lahore,Pakistan"
HG03708	"Punjabi in Lahore,Pakistan"
HG03709	"Punjabi in Lahore,Pakistan"
HG03710	"Punjabi in Lahore,Pakistan"
HG03711	Sri Lankan Tamil in the UK
HG03713	Indian Telugu in the UK
HG03714	Indian Telugu in the UK
HG03715	Indian Telugu in the UK
HG03716	Indian Telugu in the UK
HG03717	Indian Telugu in the UK
HG03718	Indian Telugu in the UK
HG03719	Indian Telugu in the UK
HG03720	Indian Telugu in the UK
HG03721	Indian Telugu in the UK
HG03722	Indian Telugu in the UK
HG03723	Indian Telugu in the UK
HG03725	Indian Telugu in the UK
HG03727	Indian Telugu in the UK
HG03729	Indian Telugu in the UK
HG03730	Indian Telugu in the UK
HG03731	Indian Telugu in the UK
HG03732	Indian Telugu in the UK
HG03733	Sri Lankan Tamil in the UK
HG03736	Sri Lankan Tamil in the UK
HG03738	Sri Lankan Tamil in the UK
HG03740	Sri Lankan Tamil in the UK
HG03741	Sri Lankan Tamil in the UK
HG03742	Indian Telugu in the UK
HG03743	Sri Lankan Tamil in the UK
HG03744	Sri Lankan Tamil in the UK
HG03745	Sri Lankan Tamil in the UK
HG03746	Sri Lankan Tamil in the UK
HG03750	Sri Lankan Tamil in the UK
HG03752	Sri Lankan Tamil in the UK
HG03753	Sri Lankan Tamil in the UK
HG03754	Sri Lankan Tamil in the UK
HG03755	Sri Lankan Tamil in the UK
HG03756	Sri Lankan Tamil in the UK
HG03757	Sri Lankan Tamil in the UK
HG03760	Sri Lankan Tamil in the UK
HG03761	"Punjabi in Lahore,Pakistan"
HG03762	"Punjabi in Lahore,Pakistan"
HG03763	"Punjabi in Lahore,Pakistan"
HG03765	"Punjabi in Lahore,Pakistan"
HG03766	"Punjabi in Lahore,Pakistan"
HG03767	"Punjabi in Lahore,Pakistan"
HG03769	"Punjabi in Lahore,Pakistan"
HG03770	Indian Telugu in the UK
HG03771	Indian Telugu in the UK
HG03772	Indian Telugu in the UK
HG03773	Indian Telugu in the UK
HG03774	Indian Telugu in the UK
HG03775	Indian Telugu in the UK
HG03777	Indian Telugu in the UK
HG03778	Indian Telugu in the UK
HG03779	Indian Telugu in the UK
HG03780	Indian Telugu in the UK
HG03781	Indian Telugu in the UK
HG03782	Indian Telugu in the UK
HG03783	Indian Telugu in the UK
HG03784	Indian Telugu in the UK
HG03785	Indian Telugu in the UK
HG03786	Indian Telugu in the UK
HG03787	Indian Telugu in the UK
HG03788	Indian Telugu in the UK
HG03789	Indian Telugu in the UK
HG03790	Indian Telugu in the UK
HG03792	Indian Telugu in the UK
HG03793	Bengali in Bangladesh
HG03794	Bengali in Bangladesh
HG03795	Bengali in Bangladesh
HG03796	Bengali in Bangladesh
HG03797	Bengali in Bangladesh
HG03798	Bengali in Bangladesh
HG03799	Bengali in Bangladesh
HG03800	Bengali in Bangladesh
HG03801	Bengali in Bangladesh
HG03802	Bengali in Bangladesh
HG03803	Bengali in Bangladesh
HG03804	Bengali in Bangladesh
HG03805	Bengali in Bangladesh
HG03806	Bengali in Bangladesh
HG03807	Bengali in Bangladesh
HG03808	Bengali in Bangladesh
HG03809	Bengali in Bangladesh
HG03811	Bengali in Bangladesh
HG03812	Bengali in Bangladesh
HG03813	Bengali in Bangladesh
HG03814	Bengali in Bangladesh
HG03815	Bengali in Bangladesh
HG03816	Bengali in Bangladesh
HG03817	Bengali in Bangladesh
HG03821	Bengali in Bangladesh
HG03822	Bengali in Bangladesh
HG03823	Bengali in Bangladesh
HG03824	Bengali in Bangladesh
HG03825	Bengali in Bangladesh
HG03826	Bengali in Bangladesh
HG03829	Bengali in Bangladesh
HG03830	Bengali in Bangladesh
HG03831	Bengali in Bangladesh
HG03832	Bengali in Bangladesh
HG03833	Bengali in Bangladesh
HG03834	Bengali in Bangladesh
HG03835	Sri Lankan Tamil in the UK
HG03836	Sri Lankan Tamil in the UK
