sample_id	population_description
HG00567	"Southern Han Chinese, China"
HG00577	"Southern Han Chinese, China"
HG00578	"Southern Han Chinese, China"
HG00579	"Southern Han Chinese, China"
HG00580	"Southern Han Chinese, China"
HG00581	"Southern Han Chinese, China"
HG00582	"Southern Han Chinese, China"
HG00583	"Southern Han Chinese, China"
HG00584	"Southern Han Chinese, China"
HG00585	"Southern Han Chinese, China"
HG00589	"Southern Han Chinese, China"
HG00590	"Southern Han Chinese, China"
HG00591	"Southern Han Chinese, China"
HG00592	"Southern Han Chinese, China"
HG00593	"Southern Han Chinese, China"
HG00594	"Southern Han Chinese, China"
HG00595	"Southern Han Chinese, China"
HG00596	"Southern Han Chinese, China"
HG00597	"Southern Han Chinese, China"
HG00598	"Southern Han Chinese, China"
HG00599	"Southern Han Chinese, China"
HG00600	"Southern Han Chinese, China"
HG00607	"Southern Han Chinese, China"
HG00608	"Southern Han Chinese, China"
HG00609	"Southern Han Chinese, China"
HG00610	"Southern Han Chinese, China"
HG00611	"Southern Han Chinese, China"
HG00612	"Southern Han Chinese, China"
HG00613	"Southern Han Chinese, China"
HG00614	"Southern Han Chinese, China"
HG00615	"Southern Han Chinese, China"
HG00619	"Southern Han Chinese, China"
HG00620	"Southern Han Chinese, China"
HG00621	"Southern Han Chinese, China"
HG00622	"Southern Han Chinese, China"
HG00623	"Southern Han Chinese, China"
HG00624	"Southern Han Chinese, China"
HG00625	"Southern Han Chinese, China"
HG00626	"Southern Han Chinese, China"
HG00627	"Southern Han Chinese, China"
HG00628	"Southern Han Chinese, China"
HG00629	"Southern Han Chinese, China"
HG00630	"Southern Han Chinese, China"
HG00631	"Southern Han Chinese, China"
HG00632	"Southern Han Chinese, China"
HG00633	"Southern Han Chinese, China"
HG00634	"Southern Han Chinese, China"
HG00635	"Southern Han Chinese, China"
HG00636	"Southern Han Chinese, China"
HG00637	Puerto Rican in Puerto Rico
HG00638	Puerto Rican in Puerto Rico
HG00639	Puerto Rican in Puerto Rico
HG00640	Puerto Rican in Puerto Rico
HG00641	Puerto Rican in Puerto Rico
HG00642	Puerto Rican in Puerto Rico
HG00650	"Southern Han Chinese, China"
HG00651	"Southern Han Chinese, China"
HG00652	"Southern Han Chinese, China"
HG00653	"Southern Han Chinese, China"
HG00654	"Southern Han Chinese, China"
HG00655	"Southern Han Chinese, China"
HG00656	"Southern Han Chinese, China"
HG00657	"Southern Han Chinese, China"
HG00658	"Southern Han Chinese, China"
HG00662	"Southern Han Chinese, China"
HG00663	"Southern Han Chinese, China"
HG00664	"Southern Han Chinese, China"
HG00671	"Southern Han Chinese, China"
HG00672	"Southern Han Chinese, China"
HG00673	"Southern Han Chinese, China"
HG00674	"Southern Han Chinese, China"
HG00675	"Southern Han Chinese, China"
HG00676	"Southern Han Chinese, China"
HG00683	"Southern Han Chinese, China"
HG00684	"Southern Han Chinese, China"
HG00685	"Southern Han Chinese, China"
HG00689	"Southern Han Chinese, China"
HG00690	"Southern Han Chinese, China"
HG00691	"Southern Han Chinese, China"
HG00692	"Southern Han Chinese, China"
HG00693	"Southern Han Chinese, China"
HG00694	"Southern Han Chinese, China"
HG00698	"Southern Han Chinese, China"
HG00699	"Southern Han Chinese, China"
HG00700	"Southern Han Chinese, China"
HG00701	"Southern Han Chinese, China"
HG00702	"Southern Han Chinese, China"
HG00703	"Southern Han Chinese, China"
HG00704	"Southern Han Chinese, China"
HG00705	"Southern Han Chinese, China"
HG00706	"Southern Han Chinese, China"
HG00707	"Southern Han Chinese, China"
HG00708	"Southern Han Chinese, China"
HG00709	"Southern Han Chinese, China"
HG00716	"Southern Han Chinese, China"
